GPU elapsed time: 61.201 seconds for 20 buildings
building_id,mean_temp,std_temp,pct_above_18,pct_below_15
10000,14.012303352355957,6.367422580718994,30.941014791508444,55.542295034537624
10009,11.000219345092773,5.811121463775635,16.6712734948236,74.9723590310584
10014,14.744486808776855,7.0375189781188965,38.26367541377415,52.80837116508215
10019,14.735828399658203,7.030119895935059,38.150171412294895,52.92723370057273
10029,10.616018295288086,6.3173346519470215,18.25563221896085,74.51301795448481
10031,12.507165908813477,6.278408050537109,24.044722033998173,66.39365995934361
10051,13.289047241210938,5.999082088470459,25.97693550756574,62.859923608050536
10053,11.366636276245117,6.261168479919434,19.9510754583921,72.41052538787024
10056,14.220138549804688,6.179457187652588,31.763454814173965,57.06174975667784
10064,12.717013359069824,6.9642205238342285,28.792343827502698,62.75688345539249
10075,15.156903266906738,6.440506458282471,39.12088154756647,47.45605511880576
10079,15.09440803527832,7.31386137008667,41.90195034602913,49.44974108309539
10080,15.777822494506836,7.280527114868164,46.36674471691274,44.71005476580028
10082,16.465633392333984,6.713337421417236,48.64349722630506,40.56137689061685
10083,15.639229774475098,7.120798110961914,44.855518923515284,45.886354482120744
10084,15.10062313079834,7.150516510009766,40.90648998644782,50.266526125583496
10085,15.868890762329102,7.192756175994873,46.18303917834116,44.72425614762771
10086,14.391429901123047,7.21561336517334,37.25664572257129,53.01884968583857
10087,15.073267936706543,7.275457859039307,41.532405798190645,49.89713190601896
10089,13.989680290222168,7.276276111602783,35.45861191757374,56.3640146392669
